X,Y,neighborhood_id,neighborhood_name,device_serial,device_connectedto,device_address,device_lat,device_long,device_tags,etl_updatedtimestamp,is_current,org1,org2,inside_outside,landmark,ObjectId
-7910482.19379852,5218090.54673119,N_568579452955538062,Charlestown,Q2CK-SNTB-WJWA,CHL-HIGHSCHOOL-AP2,"240 Medford St, Charlestown, MA 02129",42.3801186758107,-71.0610705944453, BCYF-Grant BPS Charlestown-High-School Outside ,2022/11/18 09:55:59+00,1,,,Outside,Charlestown High School,1
-7907045.55513843,5210860.08811236,N_568579452955537848,South Boston,Q2CK-LL7D-DRFS,SB-PERRY-AP2,"745 East 7th St., South Boston, MA",42.3321207672545,-71.0301987441018, BPS Outside Perry-School ,2022/11/18 09:55:58+00,1,BPS,,Outside,Perry School,2
-7907045.55513843,5210860.08811236,N_568579452955537848,South Boston,Q2CK-L6R4-HJGB,SB-PERRY-AP1,"745 E 7th St, South Boston, MA 02127",42.3321207672545,-71.0301987441018, recently-added ,2022/11/18 09:55:58+00,1,,,,,3
-7910482.19379852,5218090.54673119,N_568579452955538062,Charlestown,Q2CK-CWUY-RBGW,CHL-HIGHSCHOOL-AP1,"240 Medford St., Charlestown, MA",42.3801186758107,-71.0610705944453, BPS Charlestown-High-School Outside ,2022/11/18 09:55:59+00,1,BPS,,Outside,Charlestown High School,4
-7911344.9198002,5207976.53404644,N_568579452955534204,Dorchester,Q2CK-FQLH-FDJH,DOT-BPL-AP5,"63 Glendale St, Dorchester, MA",42.3129686634185,-71.0688205939785, BPL Outside Uphams-Corner-Branch ,2022/11/18 09:55:57+00,1,BPL,,Outside,Uphams Corner Branch,5
-7910482.19379852,5218090.54673119,N_568579452955538062,Charlestown,Q2CK-V3LS-5V65,CHL-BCYF-AP2,"240 Medford St, Charlestown, MA 02129",42.3801186758107,-71.0610705944453, BCYF BCYF-Grant Charlestown-Athletic-Building Outside ,2022/11/18 09:55:59+00,1,BCYF,,Outside,Charlestown Athletic Building,6
-7904346.26164797,5218988.75379076,N_601230550253966604,East Boston Senior Center,Q3AB-3QKN-ZC2L,EBSC-AP-2,"18 Barnes Avenue, East Boston, MA 02128",42.3860786782013,-71.0059505781137, Inside employee ,2022/11/18 09:56:34+00,1,,,Inside,employee,7
-7908681.04359801,5210972.71024671,N_568579452955537848,South Boston,Q2CK-LEG8-FAFN,SB-HIGHSCHOOL-AP2,"95 G St., South Boston, MA",42.3328686671197,-71.0448905869042, recently-added ,2022/11/18 09:55:58+00,1,,,,,8
-7907045.55513843,5210860.08811236,N_568579452955537848,South Boston,Q2CK-NLQZ-E2SP,SB-PERRY-AP3,"745 E 7th St, South Boston, MA 02127",42.3321207672545,-71.0301987441018, BPS Outside Perry-School ,2022/11/18 09:55:58+00,1,BPS,,Outside,Perry School,9
-7908681.04359801,5210972.71024671,N_568579452955537848,South Boston,Q2CK-D4R6-5UWB,SB-HIGHSCHOOL-AP3,"95 G St., South Boston, MA",42.3328686671197,-71.0448905869042, Outside South-Boston-High-School ,2022/11/18 09:55:58+00,1,,,Outside,South Boston High School,10
-7908681.04359801,5210972.71024671,N_568579452955537848,South Boston,Q2CK-LQCX-HR7J,SB-HIGHSCHOOL-AP1,95 G Street,42.3328686671197,-71.0448905869042, recently-added ,2022/11/18 09:55:58+00,1,,,,,11
-7917274.91028733,5199572.72397958,N_568579452955538316,Hyde Park,Q2CK-MJQD-GHYW,HP-BPL-AP1,"35 Harvard Ave., Hyde Park, MA - Roof North",42.2571186525548,-71.1220906048712, BPL Hyde-Park-Branch Outside ,2022/11/18 09:56:00+00,1,BPL,,Outside,Hyde Park Branch,12
-7917028.89413752,5199273.42372437,N_568579452955538316,Hyde Park,Q2CK-4SHS-VJAG,HP-BFD48-AP2,"60 Fairmont Ave., Hyde Park, MA",42.2551286509519,-71.1198806041961, BFD Engine-48 Outside ,2022/11/18 09:56:00+00,1,BFD,,Outside,Engine 48,13
-7917190.86400906,5199598.44308613,N_568579452955538316,Hyde Park,Q2AK-GPHE-YSR2,HP-CENTRAL-AP1,"26 Central Ave., Hyde Park, MA",42.2572896520292,-71.1213356043077, BPHC Hyde-Park Outside ,2022/11/18 09:56:00+00,1,,,Outside,Hyde Park,14
-7917521.57100408,5199367.78998436,N_568579452955538316,Hyde Park,Q2CK-BUXF-V896,HP-BPDE18-AP3,"1276 River St., Hyde Park, MA - Hyde Park Ave & River St",42.2557560845543,-71.1243063957897, BPD District E-18 Outside ,2022/11/18 09:56:00+00,1,BPD,,Outside,E 18,15
-7917274.91028733,5199572.72397958,N_568579452955538316,Hyde Park,Q2CK-53BW-3TB9,HP-BPL-AP2,"35 Harvard Ave., Hyde Park, MA - Roof South",42.2571186525548,-71.1220906048712, BPL Hyde-Park-Branch Outside ,2022/11/18 09:56:00+00,1,BPL,,Outside,Hyde Park Branch,16
-7917028.89413752,5199273.42372437,N_568579452955538316,Hyde Park,Q2AK-YCNF-9V29,HP-BFD48-AP1,"60 Fairmont Ave., Hyde Park, MA",42.2551286509519,-71.1198806041961, BFD Engine-48 Outside ,2022/11/18 09:56:00+00,1,BFD,,Outside,Engine 48,17
-7917511.80329518,5199475.67604279,N_568579452955538316,Hyde Park,Q2CK-ZJFC-GBK2,HP-BPDE18-AP1,"1249 Hyde Park Ave., Hyde Park, MA",42.2564734025513,-71.1242186509677, BPD District-E-18 Outside ,2022/11/18 09:56:00+00,1,BPD,,Outside,District E 18,18
-7912099.62872001,5205541.1211244,N_568579452955534204,Dorchester,Q2CK-9ECJ-KEVB,DOT-HOLMES-AP2,"40 School St, Dorchester",42.2967885000962,-71.0756002595557, BPS Holmes-Elementary-School Outside ,2022/11/18 09:55:57+00,1,BPS,,Outside,Holmes Elementary School,19
-7912099.62872001,5205541.1211244,N_568579452955534204,Dorchester,Q2CK-H64X-BT93,DOT-HOLMES-AP1,"40 School St., Dorchester, MA",42.2967885000962,-71.0756002595557, BPS Holmes-Elementary-School Outside ,2022/11/18 09:55:57+00,1,BPS,,Outside,Holmes Elementary School,20
-7911607.53118285,5205990.83337966,N_568579452955534204,Dorchester,Q2CK-649C-9H26,DOT-MARSHALL-AP1,"35 Westville St., Dorchester, MA",42.2997765683813,-71.0711796721667, BPS Marshall-School Outside UP-Academy ,2022/11/18 09:55:57+00,1,BPS,,Outside,Marshall School UP Academy,21
-7911905.79471037,5206870.06566328,N_568579452955534204,Dorchester,Q2CK-ERFW-VHQX,DOT-HOLLAND-AP2,"85 Olney St., Dorchester, MA",42.3056181301162,-71.0738590190213, BCYF Holland-Comm-Center Outside ,2022/11/18 09:55:57+00,1,BCYF,,Outside,Holland Comm Center,22
-7911206.88338086,5208249.01136844,N_568579452955534204,Dorchester,Q2CK-CVPA-TEUV,DOT-BPL-AP2,"500 Columbia Rd., Dorchester, MA",42.3147786635241,-71.0675805917259, BPL Outside Uphams-Corner-Branch ,2022/11/18 09:55:57+00,1,BPL,,Outside,Uphams Corner Branch,23
-7911206.88338086,5208249.01136844,N_568579452955534204,Dorchester,Q2CK-U4G7-7P78,DOT-BPL-AP4,"500 Columbia Rd., Dorchester, MA",42.3147786635241,-71.0675805917259, BPL Outside Uphams-Corner-Branch recently-added ,2022/11/18 09:55:57+00,1,BPL,,Outside,Uphams Corner Branch,24
-7910723.20873405,5208784.59637099,N_568579452955534204,Dorchester,Q2CK-G9M2-VTK4,DOT-BFD21-AP2,"641 Columbia Rd., Dorchester, MA",42.3183362717841,-71.0632356684482, BFD Engine-21 Outside ,2022/11/18 09:55:57+00,1,BFD,,Outside,Engine 21,25
-7910476.25588518,5207288.2796015,N_568579452955534204,Dorchester,Q2CK-NJQU-RB55,DOT-MATHER-AP3,"24 Parrish St, Dorchester",42.3083965259321,-71.0610172532622, recently-added ,2022/11/18 09:55:57+00,1,,,,,26
-7912662.29697881,5205506.83478198,N_568579452955534204,Dorchester,Q2CK-HALC-MWBH,DOT-GREENWOOD-AP1,"189 Glenway St., Dorchester, MA",42.2965606820921,-71.0806547945235, BPS Greenwood-School Outside ,2022/11/18 09:55:57+00,1,BPS,,Outside,Greenwood School,27
-7911206.88338086,5208249.01136844,N_568579452955534204,Dorchester,Q2CK-CXHG-U3Q7,DOT-BPL-AP3,"500 Columbia Rd., Dorchester, MA",42.3147786635241,-71.0675805917259, BPL Outside Uphams-Corner-Branch ,2022/11/18 09:55:57+00,1,BPL,,Outside,Uphams Corner Branch,28
-7912662.29697881,5205506.83478198,N_568579452955534204,Dorchester,Q2CK-HPSU-2K3Q,DOT-GREENWOOD-AP2,"189 Glenway Street, Dorchester, MA",42.2965606820921,-71.0806547945235, BPS Greenwood-School Outside ,2022/11/18 09:55:57+00,1,BPS,,Outside,Greenwood School,29
-7910723.20873405,5208784.59637099,N_568579452955534204,Dorchester,Q2CK-H48M-P2E9,DOT-BFD21-AP3,"641 Columbia Rd., Dorchester, MA",42.3183362717841,-71.0632356684482, BFD Engine-21 Outside ,2022/11/18 09:55:57+00,1,BFD,,Outside,Engine 21,30
-7910280.65980598,5205720.29651539,N_568579452955534204,Dorchester,Q2CK-NE73-ZSQB,DOT-BPDC11-AP1,"40 Gibson st, Dorchester, ma",42.2979790301264,-71.0592601837876, recently-added ,2022/11/18 09:55:57+00,1,,,,,31
-7910723.20873405,5208784.59637099,N_568579452955534204,Dorchester,Q2CK-ZRF5-JNQU,DOT-BFD21-AP1,"641 Columbia Rd., Dorchester, MA",42.3183362717841,-71.0632356684482, BFD Engine-21 Outside ,2022/11/18 09:55:57+00,1,BFD,,Outside,Engine 21,32
-7911206.88338086,5208249.01136844,N_568579452955534204,Dorchester,Q2CK-J2D4-6Y8J,DOT-BPL-AP6,"500 Columbia road, Dorchester, ma",42.3147786635241,-71.0675805917259, BPL Outside Uphams-Corner-Branch ,2022/11/18 09:55:57+00,1,BPL,,Outside,Uphams Corner Branch,33
-7922403.4012907,5213746.74922485,N_568579452955538703,Alston Brighton,Q2AK-HEMW-CKJN,AB-OAKSQUARE-AP1,"425 Faneuil St., Brighton, MA",42.3512876680804,-71.1681606233992, BFD Engine-51 Outside ,2022/11/18 09:56:01+00,1,BFD,,Outside,Engine 51,34
-7919879.78750683,5213415.52069041,N_568579452955538703,Alston Brighton,Q2CK-SA2P-MX2R,AB-BRIGHTON-HIGH-AP3,"25 Warren St, Brighton, MA 02135",42.3490886680621,-71.1454906150665, BCYF-Grant BPS Brighton-High-School Outside ,2022/11/18 09:56:01+00,1,,,Outside,Brighton High School,35
-7919012.60875363,5213862.88533179,N_568579452955538703,Alston Brighton,Q2AK-PKLP-V45Q,AB-JACKSON-AP1,"40 Armington St., Allston, MA",42.3520586682847,-71.1377006157859, BPS Jackson-Mann-School Outside ,2022/11/18 09:56:01+00,1,BPS,,Outside,Jackson Mann School,36
-7917511.80329518,5199475.67604279,N_568579452955538316,Hyde Park,Q2CK-NERF-4JX7,HP-BPDE18-AP2,"1249 Hyde Park Ave., Hyde Park, MA",42.2564734025513,-71.1242186509677, recently-added ,2022/11/18 09:56:00+00,1,,,,,37
-7919879.78750683,5213415.52069041,N_568579452955538703,Alston Brighton,Q2CK-SVB3-JPWM,AB-BRIGHTON-HIGH-AP2,"25 Warren St, Brighton, MA 02135",42.3490886680621,-71.1454906150665, BCYF-Grant BPS Brighton-High-School Outside ,2022/11/18 09:56:01+00,1,,,Outside,Brighton High School,38
-7919879.78750683,5213415.52069041,N_568579452955538703,Alston Brighton,Q2CK-SRAD-M7DC,AB-BRIGHTON-HIGH-AP1,"25 Warren St, Brighton, MA 02135",42.3490886680621,-71.1454906150665, BCYF-Grant BPS Brighton-High-School Outside ,2022/11/18 09:56:01+00,1,,,Outside,Brighton High School,39
-7914741.27809876,5208917.44177196,N_579275502070532581,Roxbury,Q2CK-GUWZ-2YNU,ROX-BRAGDON-AP1,"85 Bragdon St., Roxbury MA",42.3192186624804,-71.0993305996779, EOC Outside ,2022/11/18 09:56:02+00,1,,,Outside,EOC,40
-7911615.9085629,5209958.63518912,N_579275502070532581,Roxbury,Q2CK-HM2N-KPSM,ROX-MASON-AP2,"150 Norfolk Ave., Roxbury, MA",42.3261340878442,-71.071254927452, recently-added ,2022/11/18 09:56:02+00,1,,,,,41
-7912078.0921556,5207387.69729827,N_579275502070532581,Roxbury,Q2CK-FC84-AQTJ,ROX-FREDERICK-AP2,"270 Columbia Rd., Dorchester, MA",42.309056987344,-71.075406793306, BPS Frederick-Pilot-School Outside ,2022/11/18 09:56:02+00,1,BPS,,Outside,Frederick Pilot School,42
-7913800.57146551,5210829.50780903,N_579275502070532581,Roxbury,Q2CK-SSY2-PBYW,ROX-Madison Park-HS-AP1,"75 Malcolm X Blvd, Boston, MA 02120",42.3319176883679,-71.0908800882127, recently-added ,2022/11/18 09:56:02+00,1,,,,,43
-7913221.0245258,5210306.24979136,N_579275502070532581,Roxbury,Q2CK-NU67-LP8V,ROX-BPDB2-AP1,"2400 Washington St., Roxbury, MA - Right Front Side Roof Facing Dudley MBTA",42.3284427142527,-71.0856739294746, BPD District-B-2 Outside ,2022/11/18 09:56:02+00,1,BPD,,Outside,District B 2,44
-7912356.6389058,5210582.18137717,N_579275502070532581,Roxbury,Q2CK-ZWAD-LVEM,ROX-ORCHARD-AP1,"906 Albany St., Roxbury, MA",42.330275209131,-71.0779090213365, BPS Orchard-Garden-School Outside ,2022/11/18 09:56:02+00,1,BPS,,Outside,Orchard Garden School,45
-7912341.08227608,5209015.91251964,N_579275502070532581,Roxbury,Q2CK-6JQN-FZR8,ROX-WINTHROP-AP4,"Waverley & Blue Hill Ave., Roxbury, MA",42.3198727205825,-71.0777692737539, BPS Outside Winthrop-School ,2022/11/18 09:56:02+00,1,BPS,,Outside,Winthrop School,46
-7914566.17244166,5208795.9466497,N_579275502070532581,Roxbury,Q2CK-XD4N-QHUN,BFD-E42-AP1,"1870 Columbus Ave., Roxbury, MA",42.3184116635137,-71.0977575987968, BFD Engine-42 Outside recently-added ,2022/11/18 09:56:02+00,1,BFD,,Outside,Engine 42,47
-7912857.67341424,5210362.52176549,N_579275502070532581,Roxbury,Q2CK-MR56-4QY6,ROX-BFDE14-AP2,"174 Dudley St., Roxbury, MA - Front Roof Facing Dudley St",42.3288164275404,-71.0824098909045, BFD Engine-14 Outside ,2022/11/18 09:56:02+00,1,BFD,,Outside,Engine 14,48
-7911615.9085629,5209958.63518912,N_579275502070532581,Roxbury,Q2CK-F2BB-S6RY,ROX-MASON-AP1,"150 Norfolk Ave., Roxbury, MA",42.3261340878442,-71.071254927452, recently-added ,2022/11/18 09:56:02+00,1,,,,,49
-7912857.67341424,5210362.52176549,N_579275502070532581,Roxbury,Q2CK-SDQD-U3MQ,ROX-BFDE14-AP1,"174 Dudley St., Roxbury, MA - Rear Roof Facing Palmer Street",42.3288164275404,-71.0824098909045, BFD Engine-14 Outside ,2022/11/18 09:56:02+00,1,BFD,,Outside,Engine 14,50
-7913720.91942806,5209401.49372063,N_579275502070532581,Roxbury,Q2CK-DPQP-RN6X,ROX-SHELBURNE-AP2,"2730 Washington St., Roxbury, MA",42.3224337457746,-71.0901645617862, BCYF/BPL Outside Shelbourne-Comm-Center ,2022/11/18 09:56:02+00,1,BCYF,BPL,Outside,Shelbourne Comm Center,51
-7913221.0245258,5210306.24979136,N_579275502070532581,Roxbury,Q2CK-NQHH-62DH,ROX-BPDB2-AP2,"2400 Washington St., Roxbury, MA - Left Side Rear Roof Facing Dudley & Washington",42.3284427142527,-71.0856739294746, BPD District-B-2 Outside ,2022/11/18 09:56:02+00,1,BPD,,Outside,District B 2,52
-7914608.80797745,5210874.83016337,N_579275502070532581,Roxbury,Q2CK-SARQ-LX6F,ROX-Tobin-BCYF-AP1,"1481 Tremont St, Roxbury Crossing, MA 02120",42.332218666615,-71.0981406003313, BCYF BCYF-Grant Outdoor Tobin-Comm-Center ,2022/11/18 09:56:02+00,1,BCYF,,,Tobin Comm Center,53
-7914566.17244166,5208795.9466497,N_579275502070532581,Roxbury,Q2CK-2D9P-VKGR,ROX-BFDE42-AP1,"1870 Columbus Ave., Roxbury, MA",42.3184116635137,-71.0977575987968, BFD Engine-42 Outside ,2022/11/18 09:56:02+00,1,BFD,,Outside,Engine 42,54
-7913720.91942806,5209401.49372063,N_579275502070532581,Roxbury,Q2CK-NU6F-VDER,ROX-SHELBURNE-AP1,"2730 Washington St., Roxbury, MA",42.3224337457746,-71.0901645617862, BCYF/BPL Outside Shelbourne-Comm-Center ,2022/11/18 09:56:02+00,1,BCYF,BPL,Outside,Shelbourne Comm Center,55
-7912222.88106393,5210060.51558676,N_579275502070532581,Roxbury,Q2CK-MP2Y-FAUQ,ROX-VINE-AP2,"339 Dudley St, Roxbury",42.3268107188774,-71.0767074541993, recently-added ,2022/11/18 09:56:02+00,1,,,,,56
-7913316.02232867,5208591.87886588,N_579275502070532581,Roxbury,Q2CK-DFHP-VUSX,ROX-BLA-AP3,"Humbolt & Townsend St., Roxbury, MA",42.3170561743609,-71.0865273092574, BPS Boston-Latin-Academy Outside ,2022/11/18 09:56:02+00,1,BPS,,Outside,Boston Latin Academy,57
-7912078.0921556,5207387.69729827,N_579275502070532581,Roxbury,Q2CK-74V2-BS4Q,ROX-FREDERICK-AP1,"270 Columbia Rd., Dorchester, MA",42.309056987344,-71.075406793306, BPS Frederick-Pilot-School Outside ,2022/11/18 09:56:02+00,1,BPS,,Outside,Frederick Pilot School,58
-7913800.57146551,5210829.50780903,N_579275502070532581,Roxbury,Q2CK-SQTZ-N3W3,ROX-Madison Park-HS-AP2,"75 Malcolm X Blvd, Boston, MA 02120",42.3319176883679,-71.0908800882127, recently-added ,2022/11/18 09:56:02+00,1,,,,,59
-7912348.44959097,5208774.26742057,N_579275502070532581,Roxbury,Q2CK-7AFY-YUJ9,ROX-WINTHROP-AP5,"Woodbine and Blue Hill Ave., Roxbury, MA",42.3182676639245,-71.0778354554697, BPS Outside Winthrop-School ,2022/11/18 09:56:02+00,1,BPS,,Outside,Winthrop School,60
-7912772.09617308,5207056.91195012,N_579275502070532581,Roxbury,Q2CK-NFVJ-3N86,ROX-BURKE-AP1,"60 Washington St.
Dorchester, MA 02121",42.3068594547874,-71.0816411374674, BPS Jeremiah-Burke-School Outside ,2022/11/18 09:56:02+00,1,BPS,,Outside,Jeremiah Burke School,61
-7914566.17244166,5208795.9466497,N_579275502070532581,Roxbury,Q2CK-CX6Z-DWFB,,"1870 Columbus Ave., Roxbury, MA",42.3184116635137,-71.0977575987968, BFD Engine-42 Outside ,2022/11/18 09:56:02+00,1,BFD,,Outside,Engine 42,62
-7912356.6389058,5210582.18137717,N_579275502070532581,Roxbury,Q2CK-HDFV-VYBC,ROX-ORCHARD-AP2,"906 Albany St., Roxbury, MA",42.330275209131,-71.0779090213365, BPS Orchard-Garden-School Outside recently-added ,2022/11/18 09:56:02+00,1,BPS,,Outside,Orchard Garden School,63
-7912356.6389058,5210582.18137717,N_579275502070532581,Roxbury,Q2CK-VQ39-UL8G,ROX-ORCHARD-AP3,"906 Albany St., Roxbury, MA",42.330275209131,-71.0779090213365, BPS Orchard-Garden-School Outside ,2022/11/18 09:56:02+00,1,BPS,,Outside,Orchard Garden School,64
-7912222.88106393,5210060.51558676,N_579275502070532581,Roxbury,Q2CK-ZXL4-AYZP,ROX-VINE-AP1,"339 Dudley St, Roxbury",42.3268107188774,-71.0767074541993, recently-added ,2022/11/18 09:56:02+00,1,,,,,65
-7912772.09617308,5207056.91195012,N_579275502070532581,Roxbury,Q2CK-NNVA-2639,ROX-BURKE-AP2,"60 Washington St.
Dorchester, MA 02121",42.3068594547874,-71.0816411374674, BPS Jeremiah-Burke-School Outside ,2022/11/18 09:56:02+00,1,BPS,,Outside,Jeremiah Burke School,66
-7912508.81048186,5210323.61847167,N_579275502070532581,Roxbury,Q2CK-NF7G-GS7K,ROX-BFDE14-AP4,"Dudley St and Mt Pleasant Ave., Roxbury, MA",42.3285580633239,-71.0792760018623, BFD Engine-14 Outside ,2022/11/18 09:56:02+00,1,BFD,,Outside,Engine 14,67
-7914566.17244166,5208795.9466497,N_579275502070532581,Roxbury,Q2CK-BX25-DLJ2,BFD-E42-AP2,"1870 Columbus Ave., Roxbury, MA",42.3184116635137,-71.0977575987968, BFD Engine-42 Outside recently-added ,2022/11/18 09:56:02+00,1,BFD,,Outside,Engine 42,68
-7912153.10721875,5207163.39538306,N_579275502070532581,Roxbury,Q2CK-64RA-6G66,ROX-FREDERICK-AP3,"Devon & Columbia Rd, Dorchester, MA",42.3075668730015,-71.0760806650837, BPS Frederick-Pilot-School Outside ,2022/11/18 09:56:02+00,1,BPS,,Outside,Frederick Pilot School,69
-7912303.28873202,5210199.43720343,N_579275502070532581,Roxbury,Q2CK-5FW6-RS9C,ROX-VINE-AP5,"Dudley and Adams St., Roxbury, MA",42.3277333446658,-71.0774297685712, BCYF/BPL Outside Vine-St-Comm-Center recently-added ,2022/11/18 09:56:02+00,1,BCYF,BPL,Outside,Vine St Comm Center,70
-7913221.0245258,5210306.24979136,N_579275502070532581,Roxbury,Q2CK-NPJ9-EDSZ,ROX-BPDB2-AP3,"2400 Washington St., Roxbury, MA - Left Side Facing Bartlett St",42.3284427142527,-71.0856739294746, BPD District-B-2 Outside ,2022/11/18 09:56:02+00,1,BPD,,Outside,District B 2,71
-7911796.87684114,5209566.34663052,N_579275502070532581,Roxbury,Q2CK-NM86-CUTL,ROX-EMERSON-AP2,"6 SHIRLEY ST
 ROXBURY, MA 02119",42.3235286647916,-71.0728805931549, recently-added ,2022/11/18 09:56:02+00,1,,,,,72
-7913800.57146551,5210829.50780903,N_579275502070532581,Roxbury,Q2CK-SU8N-5VU8,ROX-Madison Park-HS-AP3,"75 Malcolm X Blvd, Boston, MA 02120",42.3319176883679,-71.0908800882127, recently-added ,2022/11/18 09:56:02+00,1,,,,,73
-7917899.44707971,5203994.95053004,N_601230550253961252,Roslindale,Q2CK-5TD4-6S66,ROS-COMMUNITY-AP1,"6 Cummings Highway, Roslindale, MA",42.2865140418411,-71.1277009143321, BCYF/BPL Outside Roslindale-Comm-Center ,2022/11/18 09:56:03+00,1,BCYF,BPL,Outside,Roslindale Comm Center,74
-7918007.38443269,5203860.20018636,N_601230550253961252,Roslindale,Q2CK-7FHC-97HP,ROS-BPL-AP2,"4246 Washington St., Roslindale MA",42.2856185329317,-71.1286705320712, BPL Outside Roslindale-branch ,2022/11/18 09:56:03+00,1,BPL,,Outside,Roslindale branch,75
-7917899.44707971,5203994.95053004,N_601230550253961252,Roslindale,Q2CK-NLJC-KT9P,ROS-COMMUNITY-AP4,"6 cummins highway, Roslindale, ma",42.2865140418411,-71.1277009143321, BCYF Flaherty-Pool Outside ,2022/11/18 09:56:03+00,1,BCYF,,Outside,Flaherty Pool,76
-7917899.44707971,5203994.95053004,N_601230550253961252,Roslindale,Q2CK-6PU6-G499,ROS-COMMUNITY-AP2,"6 Cummings Highway, Roslindale, MA",42.2865140418411,-71.1277009143321, BCYF/BPL Outside Roslindale-Comm-Center ,2022/11/18 09:56:03+00,1,BCYF,BPL,Outside,Roslindale Comm Center,77
-7918007.38443269,5203860.20018636,N_601230550253961252,Roslindale,Q2CK-6V2L-TCDF,ROS-BPL-AP1,"4246 Washington St., Roslindale MA",42.2856185329317,-71.1286705320712, BPL Outside Roslindale-branch ,2022/11/18 09:56:03+00,1,BPL,,Outside,Roslindale branch,78
